microresnet_ghost_loss,microresnet_loss,microresnet_loss_alpha_0.3_temperature_2,microresnet_loss_alpha_0.3_temperature_4
6.040668281447857,6.711739971814558,2.8884772473893814,3.840736594041595
4.628304792487103,5.583268991211796,2.395890837435222,3.104986501776654
4.099705115608547,5.005025785597389,2.0994644357115413,2.739290025228125
3.835904351890545,4.520889227957372,1.9090338045983668,2.532036963631125
3.602151700602773,4.214394660252134,1.809123823709805,2.3608572498306897
3.467518683894516,4.017629040476611,1.7163028021907565,2.2660680021471378
3.388685354491329,3.872699436934098,1.644674859998171,2.151523835518781
3.2351147598012937,3.75827623572191,1.6040330640495282,2.103233320938657
3.166694950264738,3.5912486293431742,1.5693100044489516,2.0628068590408093
3.032839683010755,3.491068421727251,1.5190377226266103,2.01976770025385
3.009279541957104,3.3841443141098217,1.4748282234382142,1.9854282747449168
3.0022579294336422,3.3068267134449365,1.4448173881491737,1.9500275764928754
2.9167440468088137,3.2029609887496284,1.417563512197236,1.9255717276307323
2.8797045912584074,3.179495230964992,1.3985867213715069,1.8987680777259495
2.890428808339112,3.1167639612846667,1.3731030487953244,1.8931086871325207
2.864660693556452,3.095318405829427,1.3533352107343162,1.8592995039337432
2.8593015707362337,3.068661511706574,1.334147647518636,1.8524351659638192
2.865344256086422,3.004256913729031,1.3184773646047354,1.8359234586091298
2.8698334998791784,2.99931657649672,1.3301278246028343,1.8185528766773547
2.8240848093691384,2.991249298500588,1.3164456895245311,1.8117915157162015
2.792691645414933,2.9848108712364647,1.3006771912660136,1.817478301579995
2.842923607667694,2.936771105012625,1.296217310306666,1.8058428486899647
2.815682529488488,2.9398163797910257,1.2791440793315467,1.784383640569799
2.7927859664877968,2.95973188492953,1.27354002258052,1.775166330435087
2.778274785527183,2.893794450613544,1.2739696923424215,1.763735365989568
2.7787405749416108,2.906147897091058,1.2579098003904532,1.7702424312796434
2.745112474617141,2.9091012770562528,1.264518827885923,1.7734729353424228
2.757972093494347,2.902222382747913,1.2597514973272144,1.7467275601823617
2.741237975142496,2.8931000379040417,1.2450994864449172,1.7522858881279635
2.754822622479685,2.88645281450218,1.2513134107565331,1.7474752920667838
2.7150066478173143,2.856791784696262,1.2466912557706809,1.7534187117500988
2.731614963477835,2.8577079272940944,1.2517662787681345,1.744021659921807
2.734555842016664,2.851402718697668,1.2356333956694054,1.7349068273973587
